Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,2748.719971,2811.649902,2732.510010,2810.149902,2810.149902,20680000
1990-01-03,2814.199951,2834.040039,2786.260010,2809.729980,2809.729980,23620000
1990-01-04,2804.389893,2821.459961,2766.419922,2796.080078,2796.080078,24370000
1990-01-05,2786.899902,2810.149902,2758.110107,2773.250000,2773.250000,20290000
1990-01-08,2761.729980,2803.969971,2753.409912,2794.370117,2794.370117,16610000
1990-01-09,2792.879883,2810.790039,2760.030029,2766.000000,2766.000000,15800000
1990-01-10,2758.110107,2772.820068,2725.469971,2750.639893,2750.639893,19950000
1990-01-11,2764.929932,2783.270020,2748.290039,2760.669922,2760.669922,15790000
1990-01-12,2722.050049,2735.919922,2675.979980,2689.209961,2689.209961,24180000
1990-01-15,2682.379883,2698.110107,2656.360107,2669.370117,2669.370117,18630000
1990-01-16,2645.479980,2698.379883,2634.169922,2692.620117,2692.620117,25000000
1990-01-17,2692.830078,2711.389893,2643.770020,2659.129883,2659.129883,21310000
1990-01-18,2639.709961,2678.110107,2625.850098,2666.379883,2666.379883,22750000
1990-01-19,2680.250000,2696.889893,2657.850098,2677.899902,2677.899902,23360000
1990-01-22,2672.750000,2683.330078,2595.270020,2600.449951,2600.449951,20060000
1990-01-23,2619.370117,2639.639893,2584.010010,2615.320068,2615.320068,22520000
1990-01-24,2547.750000,2619.590088,2534.229980,2604.500000,2604.500000,28070000
1990-01-25,2615.770020,2628.830078,2546.169922,2561.040039,2561.040039,22160000
1990-01-26,2561.709961,2591.669922,2516.889893,2559.229980,2559.229980,25730000
1990-01-29,2563.290039,2583.560059,2522.969971,2553.379883,2553.379883,16540000
1990-01-30,2559.229980,2576.129883,2513.060059,2543.239990,2543.239990,24910000
1990-01-31,2556.750000,2600.899902,2546.850098,2590.540039,2590.540039,22510000
1990-02-01,2594.139893,2611.489990,2571.850098,2586.260010,2586.260010,19800000
1990-02-02,2581.979980,2623.649902,2577.030029,2602.699951,2602.699951,18700000
1990-02-05,2599.320068,2633.560059,2592.120117,2622.520020,2622.520020,13650000
1990-02-06,2618.459961,2629.500000,2588.290039,2606.310059,2606.310059,16210000
1990-02-07,2593.020020,2651.350098,2579.280029,2640.090088,2640.090088,20750000
1990-02-08,2643.919922,2674.320068,2622.300049,2644.370117,2644.370117,20620000
1990-02-09,2647.520020,2666.669922,2628.149902,2648.199951,2648.199951,15590000
1990-02-12,2642.790039,2652.479980,2610.590088,2619.139893,2619.139893,12420000
1990-02-13,2622.750000,2639.189941,2592.570068,2624.100098,2624.100098,18920000
1990-02-14,2625.669922,2643.689941,2608.110107,2624.320068,2624.320068,14730000
